,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
12255,Ian B,2019-02-01,PreCovid,4,5.0,[],,,,,,,,,,
12256,47Colin,2019-02-01,PreCovid,4,5.0,"[[food, clear, 0], [food, tabl, 0], [food, untouch, 0]]",3.0,,,0.03333333333333334,,,,,,
12257,diverdave20,2019-01-01,PreCovid,4,5.0,"[[help, pleasant, 1]]",,,,,,,,1.0,,0.7333333333333333
12258,Flaxy J,2019-01-01,PreCovid,4,5.0,"[[staff, good, 1], [hotel, singapor, 0]]",1.0,,,0.0,,,,1.0,,0.7
12259,Paul N L,2019-02-01,PreCovid,4,5.0,"[[staff, swift, 1]]",,,,,,,,1.0,,0.0
12260,vinit1566,2019-02-01,PreCovid,4,4.0,[],,,,,,,,,,
12261,Sunshine63090090525,2019-02-01,PreCovid,4,5.0,"[[room, great, 2], [staff, perfect, 1], [hotel, central, 0]]",1.0,1.0,,0.0,0.8,,,1.0,,1.0
12262,Happiness19722732590,2019-01-01,PreCovid,4,5.0,"[[place, great, 0]]",1.0,,,0.8,,,,,,
12263,Eric Wu,2019-02-01,PreCovid,4,5.0,"[[room, great, 2], [hotel, good, 0]]",1.0,1.0,,0.7,0.8,,,,,
12264,Judith H,2019-01-01,PreCovid,4,5.0,"[[hotel, great, 0], [room, great, 2]]",1.0,1.0,,0.8,0.8,,,,,
12265,JaslynNstanley,2019-02-01,PreCovid,4,5.0,"[[room, great, 2]]",,1.0,,,0.8,,,,,
12266,SUE D,2019-01-01,PreCovid,4,5.0,"[[place, great, 0], [walk, short, 0]]",2.0,,,0.4,,,,,,
12267,bryan n,2019-02-01,PreCovid,4,4.0,"[[room, central, 2]]",,1.0,,,0.0,,,,,
12268,icun512,2019-02-01,PreCovid,4,5.0,"[[bed, extra, 3], [bed, extra, 3], [use, free, 4], [restaur, great, 0], [restaur, 'also great', 0]]",2.0,,1.0,0.8,,0.4,2.0,,0.0,
12269,Mic_n_Rob,2019-01-01,PreCovid,4,4.0,"[[hotel, ideal, 0], [pool, small, 3], [friendli, close, 1]]",1.0,,,0.9,,,1.0,1.0,-0.25,0.0
12270,smilej,2019-01-01,PreCovid,4,5.0,"[[room, small, 2]]",,1.0,,,-0.25,,,,,
12271,Cary75,2019-02-01,PreCovid,4,5.0,"[[staff, western, 1], [room, singapor, 2]]",,1.0,,,0.0,,,1.0,,0.0
12272,Tyler F,2018-12-01,PreCovid,4,4.0,"[[hotel, great, 0], [staff, incred, 1], [friendli, everi, 1], [room, noisi, 2], [floor, good, 2], [floor, upper, 2], [floor, free, 2], [floor, certain, 2], [pool, nice, 3], [hotel, good, 0], [hotel, fanciest, 0], [place, great, 0]]",4.0,5.0,,0.575,0.26285714285714284,,1.0,2.0,0.6,0.0
12273,Gabrieldesingap,2019-01-01,PreCovid,4,4.0,"[[famili, ideal, 1], [time, multipl, 1], [room, ideal, 2], [pool, singapor, 3], [day, long, 4]]",,1.0,1.0,,0.9,-0.05,1.0,2.0,0.0,0.45
12274,Ed_Johnson_Worthing,2019-01-01,PreCovid,4,4.0,"[[breakfast, swisshotel, 3], [breakfast, great, 3]]",,,,,,,2.0,,0.4,
12275,jenny s,2018-12-01,PreCovid,4,5.0,"[[pool, good, 3]]",,,,,,,1.0,,0.7,
12276,Travel34980079438,2019-01-01,PreCovid,4,5.0,"[[hotel, nice, 0], [room, good, 2], [room, nice, 2], [night, late, 3]]",1.0,2.0,,0.6,0.6499999999999999,,1.0,,-0.3,
12277,Wookie60,2019-01-01,PreCovid,4,4.0,"[[shop, central, 0], [hotel, singapor, 0]]",2.0,,,0.0,,,,,,
12278,Bob H,2018-12-01,PreCovid,4,5.0,"[[book, singapor, 4], [food, asian, 0], [howev, first, 2], [howev, morn, 2]]",1.0,2.0,1.0,0.0,0.125,0.0,,,,
12279,gnw866,2019-01-01,PreCovid,4,4.0,"[[room, good, 2], [bathroom, good, 2], [club, great, 4], [check, great, 4]]",,2.0,2.0,,0.7,0.8,,,,
12280,Devonboy,2019-01-01,PreCovid,4,4.0,[],,,,,,,,,,
12281,agungharsya,2019-01-01,PreCovid,4,4.0,"[[room, great, 2], [hotel, old, 0], [hotel, actual, 0], [hotel, modern, 0], [hotel, interior, 0]]",4.0,1.0,,0.07500000000000001,0.8,,,,,
12282,Pierre K,2019-01-01,PreCovid,4,2.0,[],,,,,,,,,,
12283,Maps03727140735,2019-01-01,PreCovid,4,3.0,"[[shower, cold, 2], [room, cold, 2]]",,2.0,,,-0.6,,,,,
12284,Voyage02771532355,2019-01-01,PreCovid,4,5.0,"[[time, second, 1], [breakfast, best, 3]]",,,,,,,1.0,1.0,1.0,0.0
12285,Marie P,2019-01-01,PreCovid,4,5.0,"[[night, experi, 3], [night, light, 3], [night, singapor, 3]]",,,,,,,3.0,,0.13333333333333333,
12286,MissK28,2019-01-01,PreCovid,4,5.0,"[[hotel, great, 0], [hour, free, 4], [restaur, special, 0], [hotel, good, 0]]",3.0,,1.0,0.6190476190476191,,0.4,,,,
12287,Rose H,2019-01-01,PreCovid,4,5.0,"[[room, differ, 2], [breakfast, great, 3], [breakfast, choic, 3]]",,1.0,,,0.0,,2.0,,0.4,
12288,TedBear19,2019-01-01,PreCovid,4,5.0,"[[staff, great, 1], [walk, short, 0], [restaur, great, 0]]",2.0,,,0.4,,,,1.0,,0.8
12289,Jacs1000,2019-01-01,PreCovid,4,4.0,"[[hotel, central, 0], [hotel, modern, 0], [time, wrong, 1], [stay, good, 1], [stay, short, 1]]",2.0,,,0.1,,,,3.0,,0.06666666666666665
12290,Climber38385385323,2019-01-01,PreCovid,4,4.0,[],,,,,,,,,,
12291,Anne L,2019-01-01,PreCovid,4,5.0,[],,,,,,,,,,
12292,stroppymare,2019-01-01,PreCovid,4,5.0,"[[hotel, better, 0], [night, atmospher, 3], [staff, worth, 1], [staff, 'well worth', 1], [time, good, 1]]",1.0,,,0.5,,,1.0,3.0,0.0,0.4333333333333333
12293,Simeon P,2019-01-01,PreCovid,4,4.0,[],,,,,,,,,,
12294,Paul A,2019-01-01,PreCovid,4,4.0,"[[pool, nice, 3], [pool, servic, 3]]",,,,,,,2.0,,0.3,
12295,Frank-dzh,2018-12-01,PreCovid,4,5.0,"[[hotel, nice, 0], [room, clean, 2], [thank, final, 1]]",1.0,1.0,,0.6,0.3666666666666667,,,1.0,,0.0
12296,Jenny L,2019-01-01,PreCovid,4,4.0,"[[stay, great, 1], [food, local, 0], [comfort, small, 3]]",1.0,,,0.0,,,1.0,1.0,-0.25,0.8
12297,ashhtontaylor_,2019-01-01,PreCovid,4,4.0,"[[hotel, layout, 0], [room, premier, 2], [staycat, short, 1], [staycat, pleasant, 1]]",1.0,1.0,,0.0,0.0,,,2.0,,0.36666666666666664
12298,Resort53525287404,2019-01-01,PreCovid,4,5.0,"[[place, great, 0], [room, singapor, 2]]",1.0,1.0,,0.8,0.0,,,,,
12299,Gerald,2019-01-01,PreCovid,4,4.0,[],,,,,,,,,,
12300,Meander31119757936,2019-01-01,PreCovid,4,4.0,"[[friendli, singapor, 1], [get, direct, 4], [staff, whole, 1]]",,,1.0,,,0.1,,2.0,,0.1
12301,Camper28205194402,2019-01-01,PreCovid,4,5.0,"[[staff, great, 1], [staff, long, 1]]",,,,,,,,2.0,,0.375
12302,Jo R,2018-12-01,PreCovid,4,5.0,"[[book, high, 4], [room, reliabl, 2]]",,1.0,1.0,,0.0,0.16,,,,
12303,Kaye C,2019-01-01,PreCovid,4,5.0,"[[staff, great, 1]]",,,,,,,,1.0,,0.8
12304,Meander56690595384,2019-01-01,PreCovid,4,4.0,"[[staff, servic, 1], [friendli, great, 1], [room, good, 2]]",,1.0,,,0.7,,,2.0,,0.4
12305,Elicia,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12306,Meander58168902346,2019-01-01,PreCovid,4,5.0,[],,,,,,,,,,
12307,Faberge36,2018-12-01,PreCovid,4,5.0,"[[room, close, 2], [room, excel, 2], [hour, spend, 4]]",,2.0,1.0,,0.0,0.0,,,,
12308,Alison M,2019-01-01,PreCovid,4,4.0,[],,,,,,,,,,
12309,Zahras,2019-01-01,PreCovid,4,3.0,[],,,,,,,,,,
12310,deniso402,2019-01-01,PreCovid,4,4.0,"[[hotel, great, 0], [pool, great, 3], [walk, short, 0]]",2.0,,,0.4,,,1.0,,0.8,
12311,Peter B,2019-01-01,PreCovid,4,5.0,"[[staff, singapor, 1]]",,,,,,,,1.0,,0.0
12312,John F,2019-01-01,PreCovid,4,5.0,"[[staff, great, 1], [staff, great, 1], [restaur, good, 0], [pool, next, 3], [staff, particular, 1]]",1.0,,,0.7,,,1.0,3.0,0.0,0.5888888888888889
12313,ChrisSingers01,2019-01-01,PreCovid,4,4.0,"[[breakfast, servic, 3]]",,,,,,,1.0,,0.0,
12314,Esther CSP,2019-01-01,PreCovid,4,5.0,[],,,,,,,,,,
12315,Jimmy,2019-01-01,PreCovid,4,3.0,"[[staff, good, 1], [check, second, 4]]",,,1.0,,,0.0,,1.0,,0.7
12316,Nunziato P,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12317,Hippo87,2018-08-01,PreCovid,4,5.0,"[[pool, great, 3], [food, great, 0], [day, final, 4]]",1.0,,1.0,0.8,,0.0,1.0,,0.8,
12318,Hayden R,2019-01-01,PreCovid,4,5.0,[],,,,,,,,,,
12319,MXKBrisbane75,2019-01-01,PreCovid,4,4.0,"[[friendli, 'well staff', 1], [stay, recent, 1]]",,,,,,,,2.0,,0.0
12320,T Chau,2019-01-01,PreCovid,4,5.0,"[[hotel, servic, 0]]",1.0,,,0.0,,,,,,
12321,shinf2016,2019-01-01,PreCovid,4,4.0,"[[day, nice, 4], [day, new, 4], [time, first, 1], [time, new, 1]]",,,2.0,,,0.36818181818181817,,2.0,,0.19318181818181818
12322,Neo,2018-12-01,PreCovid,4,5.0,"[[hotel, great, 0], [day, first, 4], [room, bright, 2], [room, clean, 2], [help, super, 1]]",1.0,2.0,1.0,0.8,0.5333333333333334,0.25,,1.0,,0.3333333333333333
12323,Suraj S,2018-12-01,PreCovid,4,4.0,"[[place, overal, 0], [place, good, 0]]",2.0,,,0.35,,,,,,
12324,LCandyC,2018-12-01,PreCovid,4,4.0,"[[hotel, qualiti, 0], [check, pleasant, 4], [place, good, 0]]",2.0,,1.0,0.35,,0.7333333333333333,,,,
12325,Prashant,2019-01-01,PreCovid,4,4.0,"[[room, smooth, 2]]",,1.0,,,0.4,,,,,
12326,Chris P,2019-01-01,PreCovid,4,5.0,"[[hotel, great, 0], [arriv, great, 4], [room, overnight, 2]]",1.0,1.0,1.0,0.8,0.0,0.8,,,,
12327,MIHI,2019-01-01,PreCovid,4,5.0,"[[hotel, great, 0], [place, full, 0], [place, good, 0], [place, advic, 0], [food, local, 0]]",5.0,,,0.37,,,,,,
12328,Lynda,2019-01-01,PreCovid,4,5.0,[],,,,,,,,,,
12329,PeterXaghraGozoMalta,2019-01-01,PreCovid,4,5.0,"[[room, great, 2], [bed, standard, 3]]",,1.0,,,0.8,,1.0,,0.0,
12330,Angelaritasteve,2019-01-01,PreCovid,4,5.0,"[[help, great, 1], [staff, clean, 1], [staff, great, 1], [staff, servic, 1]]",,,,,,,,4.0,,0.4916666666666667
12331,lesley5grogan,2018-12-01,PreCovid,4,1.0,"[[food, floorno, 0], [bed, enough, 3]]",1.0,,,0.0,,,1.0,,0.0,
12332,Robin P,2018-11-01,PreCovid,4,3.0,[],,,,,,,,,,
12333,Deidre A,2018-12-01,PreCovid,4,5.0,"[[room, right, 2], [room, select, 2], [staff, great, 1]]",,2.0,,,0.14285714285714285,,,1.0,,0.8
12334,lexdas,2018-08-01,PreCovid,4,5.0,"[[room, perfect, 2], [hotel, close, 0], [time, next, 1]]",1.0,1.0,,0.0,1.0,,,1.0,,0.0
12335,ExVotoFatum,2019-01-01,PreCovid,4,4.0,"[[room, 'satisfi execut', 2], [room, extra, 2], [book, worth, 4], [time, enough, 1], [staff, 'alway convinc', 1], [breakfast, extra, 3], [room, worth, 2]]",,3.0,1.0,,0.09999999999999999,0.3,1.0,2.0,0.0,0.0
12336,Bob G,2018-12-01,PreCovid,4,4.0,"[[stay, singapor, 1], [staff, clean, 1], [room, neg, 2], [day, everi, 4]]",,1.0,1.0,,0.0,0.0,,2.0,,0.18333333333333335
12337,Susan & Alan,2018-12-01,PreCovid,4,5.0,"[[food, great, 0]]",1.0,,,0.8,,,,,,
12338,cpl_v,2019-01-01,PreCovid,4,3.0,"[[place, new, 0], [food, invit, 0]]",2.0,,,0.06818181818181818,,,,,,
12339,Keira T,2018-12-01,PreCovid,4,5.0,"[[friendli, brilliant, 1], [walk, best, 0]]",1.0,,,1.0,,,,1.0,,0.9
12340,Hungry79,2018-09-01,PreCovid,4,5.0,"[[room, modern, 2], [food, special, 0], [hotel, standard, 0], [shop, next, 0], [shop, 'right next', 0]]",4.0,1.0,,0.125,0.2,,,,,
12341,Dianne B,2019-01-01,PreCovid,4,4.0,[],,,,,,,,,,
12342,niranjandesilva,2018-12-01,PreCovid,4,5.0,"[[stay, great, 1], [room, best, 2]]",,1.0,,,1.0,,,1.0,,0.8
12343,KP2019,2018-12-01,PreCovid,4,4.0,"[[hotel, great, 0], [hotel, good, 0]]",2.0,,,0.75,,,,,,
12344,tmbobSlough,2018-12-01,PreCovid,4,5.0,"[[room, right, 2], [bed, good, 3], [bathroom, good, 2], [staff, good, 1]]",,2.0,,,0.4928571428571428,,1.0,1.0,0.7,0.7
12345,Kenneth M,2018-11-01,PreCovid,4,5.0,"[[staff, great, 1], [help, real, 1]]",,,,,,,,2.0,,0.5
12346,Natianan,2018-12-01,PreCovid,4,5.0,"[[pool, nice, 3], [room, super, 2], [pool, right, 3], [hour, open, 4], [room, perfect, 2], [breakfast, pricey, 3]]",,2.0,1.0,,0.6666666666666666,0.0,3.0,,0.29523809523809524,
12347,JosephAng2018,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12348,AussieSuzie53,2018-12-01,PreCovid,4,5.0,"[[hotel, particular, 0], [friendli, warm, 1], [food, 'even decor', 0], [staff, great, 1], [staff, choic, 1]]",2.0,,,0.08333333333333333,,,,3.0,,0.4666666666666666
12349,coletom1949,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12350,arbruse,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12351,Samuel M,2018-12-01,PreCovid,4,4.0,"[[hotel, great, 0], [room, smooth, 2], [place, great, 0]]",2.0,1.0,,0.8,0.4,,,,,
12352,Lynette B,2018-12-01,PreCovid,4,5.0,"[[breakfast, brilliant, 3]]",,,,,,,1.0,,0.9,
12353,Go43076503634,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12354,Venell D,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12355,MAS,2018-12-01,PreCovid,4,5.0,"[[stay, great, 1], [night, last, 3], [help, pleasant, 1]]",,,,,,,1.0,2.0,0.0,0.7666666666666666
12356,Stamn,2018-12-01,PreCovid,4,5.0,"[[room, longer, 2]]",,1.0,,,0.0,,,,,
12357,md115,2018-12-01,PreCovid,4,5.0,"[[use, free, 4], [use, 'well free', 4], [use, portabl, 4]]",,,3.0,,,0.26666666666666666,,,,
12358,ZaidHashimi,2018-12-01,PreCovid,4,4.0,"[[place, nice, 0], [place, nice, 0]]",2.0,,,0.6,,,,,,
12359,italiangirl09,2018-12-01,PreCovid,4,4.0,"[[stay, great, 1], [stay, great, 1], [bathroom, good, 2], [bathroom, select, 2], [bathroom, clean, 2], [bathroom, modern, 2]]",,4.0,,,0.31666666666666665,,,2.0,,0.8
12360,33_jones,2018-12-01,PreCovid,4,5.0,"[[restaur, good, 0], [restaur, close, 0]]",2.0,,,0.35,,,,,,
12361,Serene G,2018-12-01,PreCovid,4,4.0,"[[book, usual, 4], [staff, servic, 1], [time, alway, 1], [place, good, 0]]",1.0,,1.0,0.7,,-0.25,,2.0,,0.0
12362,PingC,2018-12-01,PreCovid,4,5.0,"[[night, last, 3]]",,,,,,,1.0,,0.0,
12363,KMN,2018-12-01,PreCovid,4,4.0,"[[room, high, 2], [restaur, great, 0]]",1.0,1.0,,0.8,0.16,,,,,
12364,Norm A,2018-12-01,PreCovid,4,5.0,"[[room, great, 2], [room, new, 2]]",,2.0,,,0.4681818181818182,,,,,
12365,kenmcardle,2018-09-01,PreCovid,4,5.0,"[[room, great, 2]]",,1.0,,,0.8,,,,,
12366,Michael Lim,2018-12-01,PreCovid,4,5.0,"[[day, close, 4]]",,,1.0,,,0.0,,,,
12367,David N,2018-11-01,PreCovid,4,4.0,"[[hotel, good, 0], [hotel, qualiti, 0], [hotel, central, 0], [hotel, good, 0]]",4.0,,,0.35,,,,,,
12368,Lauren N,2018-12-01,PreCovid,4,5.0,"[[place, better, 0], [room, firstli, 2], [pool, 'still nice', 3], [pool, overlook, 3]]",1.0,1.0,,0.5,0.0,,2.0,,0.3,
12369,Bruce N,2018-12-01,PreCovid,4,5.0,"[[hotel, great, 0], [place, great, 0]]",2.0,,,0.8,,,,,,
12370,bryans1304,2018-12-01,PreCovid,4,5.0,"[[hotel, great, 0]]",1.0,,,0.8,,,,,,
12371,Texjack,2018-11-01,PreCovid,4,5.0,"[[flight, long, 4], [room, spade, 2], [help, perfect, 1], [help, allen, 1]]",,1.0,1.0,,0.0,-0.05,,2.0,,0.5
12372,Simon Y,2018-11-01,PreCovid,4,5.0,"[[room, close, 2], [time, last, 1], [room, good, 2]]",,2.0,,,0.35,,,1.0,,0.0
12373,coronarias,2018-12-01,PreCovid,4,5.0,"[[food, great, 0], [bed, superior, 3]]",1.0,,,0.8,,,1.0,,0.7,
12374,Iamrarelyfooled,2018-12-01,PreCovid,4,5.0,"[[stay, great, 1], [stay, servic, 1], [time, first, 1], [staff, great, 1]]",,,,,,,,4.0,,0.4625
12375,Pam073,2018-12-01,PreCovid,4,5.0,"[[room, 'extra notch', 2]]",,1.0,,,0.0,,,,,
12376,John Doe,2018-11-01,PreCovid,4,5.0,[],,,,,,,,,,
12377,Freda Yew,2018-12-01,PreCovid,4,5.0,"[[breakfast, varieti, 3], [time, long, 1], [time, short, 1]]",,,,,,,1.0,2.0,0.0,-0.025
12378,Mitch B,2018-12-01,PreCovid,4,5.0,"[[room, much, 2]]",,1.0,,,0.2,,,,,
12379,Sheila C,2018-11-01,PreCovid,4,5.0,"[[bathroom, clean, 2], [staff, best, 1]]",,1.0,,,0.3666666666666667,,,1.0,,1.0
12380,TheHoughtons,2018-12-01,PreCovid,4,5.0,"[[time, best, 1]]",,,,,,,,1.0,,1.0
12381,Anastassia Glamor,2018-12-01,PreCovid,4,5.0,"[[room, execut, 2]]",,1.0,,,0.0,,,,,
12382,Potter65,2018-12-01,PreCovid,4,5.0,"[[place, special, 0], [help, express, 1]]",1.0,,,0.35714285714285715,,,,1.0,,0.0
12383,CherylH57,2018-12-01,PreCovid,4,5.0,"[[shop, great, 0]]",1.0,,,0.8,,,,,,
12384,travel bird,2018-11-01,PreCovid,4,5.0,"[[day, singapor, 4]]",,,1.0,,,0.0,,,,
12385,LtDonnyD,2018-12-01,PreCovid,4,5.0,"[[hotel, great, 0], [restaur, close, 0], [restaur, 'right close', 0], [hotel, great, 0], [day, good, 4], [day, starter, 4]]",4.0,,2.0,0.4714285714285715,,0.35,,,,
12386,KANGA54,2018-11-01,PreCovid,4,4.0,"[[staff, fine, 1]]",,,,,,,,1.0,,0.4166666666666667
12387,nicknixon,2018-12-01,PreCovid,4,5.0,"[[day, first, 4]]",,,1.0,,,0.25,,,,
12388,savytravellers,2018-11-01,PreCovid,4,5.0,[],,,,,,,,,,
12389,mesparky,2018-11-01,PreCovid,4,5.0,"[[check, earli, 4], [bathroom, enough, 2], [help, super, 1]]",,1.0,1.0,,0.0,0.0,,1.0,,0.3333333333333333
12390,PrettoMauricio,2018-12-01,PreCovid,4,4.0,"[[hotel, good, 0], [hotel, experi, 0], [hotel, good, 0], [bed, good, 3], [pool, enabl, 3]]",3.0,,,0.4666666666666666,,,2.0,,0.35,
12391,Derek C,2018-11-01,PreCovid,4,4.0,"[[friendli, decent, 1], [night, close, 3]]",,,,,,,1.0,1.0,0.0,0.16666666666666666
12392,Marsillah K,2018-03-01,PreCovid,4,5.0,[],,,,,,,,,,
12393,alpa5755,2018-09-01,PreCovid,4,5.0,[],,,,,,,,,,
12394,Hao Ren,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12395,Patrich W,2018-12-01,PreCovid,4,3.0,"[[staff, good, 1]]",,,,,,,,1.0,,0.7
12396,Uranie B,2018-12-01,PreCovid,4,5.0,"[[room, satisfi, 2], [food, good, 0], [time, great, 1]]",1.0,1.0,,0.7,0.0,,,1.0,,0.8
12397,dftan,2018-12-01,PreCovid,4,5.0,"[[comfort, pleasant, 3], [pool, clean, 3], [pool, nice, 3], [hotel, nice, 0], [day, special, 4]]",1.0,,1.0,0.6,,0.35714285714285715,3.0,,0.5666666666666668,
12398,Davo3591,2018-11-01,PreCovid,4,5.0,"[[time, first, 1], [room, modern, 2], [walk, short, 0], [day, full, 4]]",1.0,1.0,1.0,0.0,0.2,0.35,,1.0,,0.25
12399,roseanne jk,2018-12-01,PreCovid,4,5.0,"[[place, great, 0], [staff, spectacular, 1], [friendli, nice, 1]]",1.0,,,0.8,,,,2.0,,0.6
12400,Curious16104479935,2018-11-01,PreCovid,4,4.0,"[[hotel, good, 0]]",1.0,,,0.7,,,,,,
12401,Efflene,2018-10-01,PreCovid,4,5.0,"[[pool, swim, 3]]",,,,,,,1.0,,0.0,
12402,John C,2018-12-01,PreCovid,4,5.0,"[[room, top, 2], [day, next, 4], [staff, good, 1]]",,1.0,1.0,,0.5,0.0,,1.0,,0.7
12403,MickMarlene,2018-12-01,PreCovid,4,5.0,[],,,,,,,,,,
12404,Motorider26,2018-12-01,PreCovid,4,5.0,"[[staff, clean, 1], [check, singapor, 4]]",,,1.0,,,0.0,,1.0,,0.3666666666666667
12405,stevemNewcastle,2018-10-01,PreCovid,4,5.0,"[[restaur, good, 0], [restaur, choic, 0]]",2.0,,,0.35,,,,,,
12406,GuyRMB,2018-10-01,PreCovid,4,4.0,"[[room, clean, 2]]",,1.0,,,0.3666666666666667,,,,,
12407,Adventure27544404778,2018-11-01,PreCovid,4,4.0,"[[stay, great, 1], [time, second, 1]]",,,,,,,,2.0,,0.4
12408,GKSH,2018-12-01,PreCovid,4,5.0,"[[hotel, overal, 0], [hotel, good, 0]]",2.0,,,0.35,,,,,,
12409,Anthony William B,2018-11-01,PreCovid,4,4.0,"[[stay, singapor, 1], [pool, nice, 3], [staff, good, 1]]",,,,,,,1.0,2.0,0.6,0.35
12410,Tintagelwizard,2018-11-01,PreCovid,4,4.0,"[[walk, singapor, 0], [staff, good, 1], [use, free, 4], [use, cheap, 4], [enjoy, total, 1]]",1.0,,2.0,0.0,,0.4,,2.0,,0.44999999999999996
12411,billsbbs1,2018-11-01,PreCovid,4,4.0,"[[hour, execut, 4]]",,,1.0,,,0.0,,,,
12412,Lindsay J,2018-11-01,PreCovid,4,5.0,"[[breakfast, nice, 3]]",,,,,,,1.0,,0.6,
12413,Navigator43023386462,2018-11-01,PreCovid,4,5.0,"[[friendli, good, 1]]",,,,,,,,1.0,,0.7
12414,Trip57343296269,2018-11-01,PreCovid,4,4.0,[],,,,,,,,,,
12415,anne m,2018-11-01,PreCovid,4,5.0,"[[room, second, 2], [staff, choic, 1]]",,1.0,,,0.0,,,1.0,,0.0
12416,Aditi V,2018-11-01,PreCovid,4,5.0,"[[room, smaller, 2], [hotel, great, 0], [hotel, next, 0], [hotel, 'right next', 0], [book, great, 4], [book, great, 4], [room, standard, 2], [room, normal, 2], [staff, nice, 1], [staff, 'also nice', 1]]",3.0,3.0,2.0,0.3142857142857143,0.049999999999999996,0.8,,2.0,,0.6
12417,Jason D,2018-11-01,PreCovid,4,5.0,"[[breakfast, earli, 3], [room, rich, 2]]",,1.0,,,0.375,,1.0,,0.0,
12418,InspiredReviewer,2018-11-01,PreCovid,4,5.0,"[[place, great, 0], [walk, short, 0], [hotel, overal, 0]]",3.0,,,0.26666666666666666,,,,,,
12419,Happy Buddha,2018-11-01,PreCovid,4,4.0,"[[room, good, 2]]",,1.0,,,0.7,,,,,
12420,Jerome D,2018-11-01,PreCovid,4,1.0,[],,,,,,,,,,
12421,Sunshine42485,2018-11-01,PreCovid,4,5.0,"[[staff, standard, 1]]",,,,,,,,1.0,,0.0
12422,Casey M,2018-10-01,PreCovid,4,5.0,[],,,,,,,,,,
12423,David P,2018-11-01,PreCovid,4,2.0,[],,,,,,,,,,
12424,Kristin H,2018-11-01,PreCovid,4,5.0,"[[hotel, servic, 0], [staff, servic, 1], [friendli, best, 1]]",1.0,,,0.0,,,,2.0,,0.5
12425,Not-a-bot123,2018-11-01,PreCovid,4,5.0,"[[staff, servic, 1], [howev, decent, 2]]",,1.0,,,0.16666666666666666,,,1.0,,0.0
12426,844Duchess,2018-11-01,PreCovid,4,5.0,"[[stay, singapor, 1], [stay, second, 1]]",,,,,,,,2.0,,0.0
12427,TheSleepingTiger,2018-11-01,PreCovid,4,3.0,"[[check, late, 4]]",,,1.0,,,-0.3,,,,
12428,David S,2018-10-01,PreCovid,4,5.0,"[[hotel, great, 0], [stay, recent, 1], [room, singapor, 2], [hotel, best, 0], [hotel, 'good best', 0], [hotel, qualiti, 0], [time, next, 1]]",4.0,1.0,,0.6625,0.0,,,2.0,,0.0
12429,Carol P,2018-11-01,PreCovid,4,5.0,"[[room, execut, 2], [staff, best, 1]]",,1.0,,,0.0,,,1.0,,1.0
12430,Newbie,2018-10-01,PreCovid,4,4.0,"[[staff, great, 1], [hour, great, 4]]",,,1.0,,,0.8,,1.0,,0.8
12431,JDT_11,2018-09-01,PreCovid,4,4.0,"[[night, close, 3], [night, first, 3]]",,,,,,,2.0,,0.125,
12432,Sandra M,2018-11-01,PreCovid,4,5.0,"[[breakfast, much, 3]]",,,,,,,1.0,,0.2,
12433,Prospector1,2018-11-01,PreCovid,4,5.0,"[[room, larger, 2], [room, good, 2], [day, late, 4], [day, later, 4], [airport, cheap, 3], [airport, 'rather tourist', 3]]",,2.0,2.0,,0.35,-0.15,2.0,,0.2,
12434,Anthony A,2018-10-01,PreCovid,4,4.0,"[[pool, bad, 3], [room, good, 2]]",,1.0,,,0.7,,1.0,,-0.6999999999999998,
12435,Angela G,2018-11-01,PreCovid,4,5.0,"[[friendli, great, 1], [room, good, 2], [room, clean, 2]]",,2.0,,,0.5333333333333333,,,1.0,,0.8
12436,Scott Johnstone,2018-11-01,PreCovid,4,4.0,"[[hotel, great, 0], [stay, enough, 1], [time, next, 1], [book, enough, 4]]",1.0,,1.0,0.8,,0.0,,2.0,,0.0
12437,Gerry S,2018-11-01,PreCovid,4,5.0,"[[breakfast, rich, 3], [breakfast, pleasant, 3]]",,,,,,,2.0,,0.5541666666666667,
12438,Jet258890,2018-10-01,PreCovid,4,4.0,[],,,,,,,,,,
12439,Ian T,2018-11-01,PreCovid,4,5.0,"[[stay, pkeasant, 1]]",,,,,,,,1.0,,0.0
12440,Robin M,2018-10-01,PreCovid,4,4.0,"[[pool, good, 3], [pool, swim, 3], [breakfast, good, 3], [staff, good, 1]]",,,,,,,3.0,1.0,0.4666666666666666,0.7
12441,David D,2018-10-01,PreCovid,4,5.0,"[[friendli, brilliant, 1], [room, enough, 2]]",,1.0,,,0.0,,,1.0,,0.9
12442,Melina H,2018-11-01,PreCovid,4,5.0,[],,,,,,,,,,
12443,lixuanli,2018-11-01,PreCovid,4,5.0,"[[staff, good, 1]]",,,,,,,,1.0,,0.7
