,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
64,Curious03963861967,2023-06-01,PostCovid,4,,"[[work, good, 2]]",,1.0,,,0.7,,,,,
65,kelvin705,2023-07-01,PostCovid,4,,"[[room, better, 2], [staff, servic, 1], [howev, good, 2]]",,2.0,,,0.6,,,1.0,,0.0
66,rs6nn9u1n78wx751af74,2023-07-01,PostCovid,4,,"[[stay, nice, 1], [airport, close, 3]]",,,,,,,1.0,1.0,0.0,0.6
67,Ert53,2023-07-01,PostCovid,4,,"[[time, close, 1], [time, sever, 1], [bed, new, 3], [bed, much, 3]]",,,,,,,2.0,2.0,0.16818181818181818,0.0
68,cic0m22,2023-07-01,PostCovid,4,,"[[room, delux, 2], [night, anoth, 3], [termin, ubin, 3], [termin, small, 3]]",,1.0,,,0.0,,3.0,,-0.08333333333333333,
69,rs6ng9u1miumsju15332,2023-07-01,PostCovid,4,,"[[staff, poor, 1], [check, late, 4], [need, 'still readi', 2], [staff, recent, 1]]",,1.0,1.0,,0.0,-0.3,,2.0,,-0.2
70,tommyjustme75,2023-07-01,PostCovid,4,,"[[room, clean, 2], [friendli, warm, 1], [airport, close, 3]]",,1.0,,,0.3666666666666667,,1.0,1.0,0.0,0.6
71,naleis960150,2023-07-01,PostCovid,4,,[],,,,,,,,,,
72,Rob A,2023-07-01,PostCovid,4,,"[[hotel, servic, 0], [hotel, nice, 0], [hotel, clean, 0]]",3.0,,,0.32222222222222224,,,,,,
73,495986963,2023-07-01,PostCovid,4,,"[[time, next, 1]]",,,,,,,,1.0,,0.0
74,Cameron,2023-06-01,PostCovid,4,,"[[night, late, 3], [pool, late, 3], [restaur, good, 0]]",1.0,,,0.7,,,2.0,,-0.3,
75,ojqne3qrs2,2023-07-01,PostCovid,4,,"[[shower, bad, 2]]",,1.0,,,-0.6999999999999998,,,,,
76,MichRu77,2023-07-01,PostCovid,4,,"[[airport, close, 3]]",,,,,,,1.0,,0.0,
77,angelalim975,2023-07-01,PostCovid,4,,[],,,,,,,,,,
78,62nope,2023-06-01,PostCovid,4,,"[[hotel, poor, 0], [hotel, qualiti, 0]]",2.0,,,-0.2,,,,,,
79,EasternTraveller_13,2023-06-01,PostCovid,4,,"[[room, qualiti, 2]]",,1.0,,,0.0,,,,,
