,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_1,count_topic_0,count_topic_3,topic_1,topic_0,topic_3,count_topic_2,topic_2,count_topic_4,topic_4
53,Mullos1962,2022-07-01,PostCovid,3,4.0,"[[stay, short, 1], [floor, quick, 0], [water, hot, 0], [bed, minor, 0]]",1.0,3.0,,0.0,0.17777777777777773,,,,,
54,Jimmy Ong,2022-07-01,PostCovid,3,2.0,"[[room, small, 0], [bugi, better, 1], [room, cheaper, 0], [room, bigger, 0]]",1.0,3.0,,0.5,-0.08333333333333333,,,,,
55,Lilin,2022-06-01,PostCovid,3,5.0,"[[hotel, servic, 1], [check, clean, 2]]",1.0,,,0.0,,,1.0,0.3666666666666667,,
56,franey1944,2022-06-01,PostCovid,3,3.0,"[[time, improv, 2], [room, quiet, 0], [use, constant, 3], [room, resect, 0]]",,2.0,1.0,,0.0,0.0,1.0,0.0,,
57,Travel addict,2022-06-01,PostCovid,3,4.0,"[[check, fave, 2], [day, twice, 2], [call, free, 3], [room, extra, 0], [bed, nice, 0]]",,2.0,1.0,,0.3,0.4,2.0,0.0,,
58,cranfordcouple,2022-02-01,Covid,3,5.0,"[[place, singapor, 1], [place, local, 1], [love, thank, 3]]",2.0,,1.0,0.0,,0.5,,,,
59,ron255100,2022-04-01,PostCovid,3,1.0,[],,,,,,,,,,
60,Almino,2022-04-01,PostCovid,3,2.0,"[[need, old, 3], [staff, great, 1], [door, next, 0], [door, 'right next', 0], [room, broken, 0], [room, 'still one', 0], [room, usabl, 0]]",1.0,5.0,1.0,0.8,-0.051428571428571435,0.1,,,,
61,EltonMa,2022-03-01,Covid,3,5.0,"[[room, clean, 0], [room, tidi, 0], [food, nice, 1], [breakfast, tri, 4]]",1.0,2.0,,0.6,0.18333333333333335,,,,1.0,0.0
62,Sonia S,2022-03-01,Covid,3,4.0,"[[hotel, ideal, 1], [hotel, central, 1], [floor, higher, 0]]",2.0,1.0,,0.45,0.25,,,,,
63,wilsonhocw,2022-03-01,Covid,3,5.0,"[[food, eateri, 1]]",1.0,,,0.0,,,,,,
64,LVVal,2022-02-01,Covid,3,5.0,"[[room, clean, 0]]",,1.0,,,0.3666666666666667,,,,,
65,aidem96,2020-03-01,Covid,3,5.0,[],,,,,,,,,,
66,Beatrice,2019-12-01,PreCovid,3,5.0,"[[stay, great, 1], [stay, 'improv great', 1]]",2.0,,,0.8,,,,,,
67,dinu79,2020-01-01,PreCovid,3,4.0,[],,,,,,,,,,
68,Marsha F,2019-10-01,PreCovid,3,4.0,"[[time, first, 2], [friendli, last, 1]]",1.0,,,0.0,,,1.0,0.25,,
69,Geoff_and_Juls,2019-10-01,PreCovid,3,4.0,"[[room, clean, 0], [place, good, 1]]",1.0,1.0,,0.7,0.3666666666666667,,,,,
70,Gianluca3008,2019-10-01,PreCovid,3,4.0,"[[staff, nice, 1], [staff, clean, 1], [staff, quiet, 1], [staff, nice, 1], [staff, extern, 1], [singapor, best, 1], [singapor, choic, 1]]",7.0,,,0.36666666666666664,,,,,,
71,MalaysiaMinky,2020-03-01,Covid,3,5.0,[],,,,,,,,,,
72,rowQld,2019-04-01,PreCovid,3,5.0,[],,,,,,,,,,
73,William J,2020-02-01,Covid,3,5.0,"[[hotel, great, 1], [staff, earli, 1], [room, much, 0], [room, 'great much', 0], [staff, tidi, 1], [staff, clean, 1], [door, next, 0]]",4.0,3.0,,0.2916666666666667,0.2333333333333333,,,,,
74,jdangus95,2020-02-01,Covid,3,5.0,"[[place, great, 1], [place, great, 1], [hotel, cold, 1]]",3.0,,,0.3333333333333333,,,,,,
75,Malcolm W,2020-02-01,Covid,3,4.0,"[[room, nice, 0], [room, basic, 0], [room, singapor, 0], [room, close, 0], [room, nice, 0], [help, pleasant, 1]]",1.0,5.0,,0.7333333333333333,0.24,,,,,
76,Eileen R,2020-01-01,PreCovid,3,4.0,"[[hotel, much, 1], [room, right, 0], [size, small, 0], [time, everi, 2], [bathroom, small, 0], [size, good, 0]]",1.0,4.0,,0.2,0.12142857142857141,,1.0,0.0,,
